LINEUPS,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,PLAYER1,PLAYER2,PLAYER3,PLAYER4,PLAYER5,
R. Gay - R. Rondo - D. Cousins - Q. Acy - B. McLemore,SAC,13,143,107.4,104.6,2.9,63.8,1.46,20,19.7,78.5,52.3,0.2,57,60,103.27,53,R. Gay , R. Rondo , D. Cousins , Q. Acy , B. McLemore,
K. Lowry - D. DeRozan - P. Patterson - B. Biyombo - C. Joseph,TOR,44,142,106.5,96,10.5,38,1.09,10.7,35.3,66.3,53.3,0.1,54.2,58.9,97.16,61.8,K. Lowry , D. DeRozan , P. Patterson , B. Biyombo , C. Joseph,
S. Curry - K. Thompson - H. Barnes - F. Ezeli - D. Green,GSW,16,142,112.4,105,7.4,69,1.98,21.3,25.9,72.5,49.5,0.2,57.3,59.6,101.06,54.2,S. Curry , K. Thompson , H. Barnes , F. Ezeli , D. Green,
N. Vucevic - T. Harris - V. Oladipo - E. Payton - A. Gordon,ORL,14,141,104.2,111.9,-7.7,56.8,1.86,16.6,29.6,75.2,50,0.1,47.6,51.1,99.1,44.1,N. Vucevic , T. Harris , V. Oladipo , E. Payton , A. Gordon,
K. Humphries - M. Gortat - J. Wall - B. Beal - O. Porter Jr.,WAS,10,139,95.9,104.7,-8.8,63,1.15,16.6,30.9,71.8,50.7,0.2,47.3,50.8,102.41,44.6,K. Humphries , M. Gortat , J. Wall , B. Beal , O. Porter Jr.,
O. Mayo - G. Monroe - K. Middleton - G. Antetokounmpo - J. Parker,MIL,17,135,106.9,94.1,12.8,59.2,1.58,17.9,28.1,72.8,52,0.2,52.9,57.3,103.32,59.5,O. Mayo , G. Monroe , K. Middleton , G. Antetokounmpo , J. Parker,
J. Jerebko - E. Turner - A. Bradley - K. Olynyk - M. Smart,BOS,21,133,117.2,93.8,23.4,62.2,2.74,19.5,28.5,77.1,51.6,0.1,56.6,59.5,98.27,62.6,J. Jerebko , E. Turner , A. Bradley , K. Olynyk , M. Smart,
O. Mayo - M. Plumlee - K. Middleton - G. Antetokounmpo - J. Parker,MIL,12,133,105.1,105.9,-0.7,64.7,1.83,19.7,30.8,68.4,49.6,0.2,52,54.5,97.81,49.6,O. Mayo , M. Plumlee , K. Middleton , G. Antetokounmpo , J. Parker,
R. Gay - R. Rondo - D. Collison - O. Casspi - D. Cousins,SAC,30,133,111.3,98.2,13.1,63.7,1.53,17.9,39.8,68.8,55.8,0.2,53,57.9,102.22,60,R. Gay , R. Rondo , D. Collison , O. Casspi , D. Cousins,
G. Henderson - E. Davis - M. Harkless - A. Crabbe - C. McCollum,POR,26,132,98.5,98.5,0,54.4,1.56,15.3,29.2,69,48,0.1,46.9,50.4,98.27,48.8,G. Henderson , E. Davis , M. Harkless , A. Crabbe , C. McCollum,
