PLAYER,TEAM,GP,POSS,FREQ%,PPP,PTS,FGM,FGA,FG%,EFG%
Justise Winslow,LAC,37,0.3,5.6,0.55,0.2,0.1,0.2,25,25
Malik Beasley,MIN,79,0.6,5.5,1.16,0.7,0.3,0.6,46.7,61.1
Max Strus,MIA,68,0.5,5.5,1.06,0.5,0.2,0.4,46.7,61.7
Sterling Brown,DAL,49,0.2,5.4,0.8,0.2,0.1,0.1,60,80
Timothe Luwawu-Cabarrot,ATL,52,0.2,5.4,0.58,0.1,0,0.2,22.2,33.3
Julius Randle,NYK,72,1.2,5.3,0.85,1,0.3,0.9,35.3,43.4
Mikal Bridges,PHX,82,0.6,5.2,1.1,0.7,0.3,0.5,56.8,56.8
Jae Crowder,PHX,67,0.5,5.2,1.09,0.5,0.2,0.4,46.7,58.3
Quentin Grimes,NYK,46,0.3,5.2,0,0,0,0.2,0,0
Jae'Sean Tate,HOU,78,0.6,5.1,0.83,0.5,0.2,0.4,56.3,59.4
Kenrich Williams,OKC,49,0.4,5.1,0.95,0.4,0.1,0.3,53.8,57.7
Taurean Prince,MIN,69,0.3,5.1,0.67,0.2,0.1,0.2,37.5,43.8
Rudy Gay,UTA,55,0.4,5,1.22,0.5,0.2,0.4,50,60
Jalen McDaniels,CHA,55,0.3,4.9,1.06,0.3,0.1,0.2,61.5,61.5
Lamar Stevens,CLE,63,0.3,4.9,0.9,0.3,0.1,0.3,41.2,41.2
Oshae Brissett,IND,67,0.5,4.9,0.55,0.3,0.1,0.3,26.3,28.9
Caleb Martin,MIA,60,0.4,4.9,0.64,0.3,0.1,0.3,35,35
Aaron Gordon,DEN,75,0.7,4.8,0.71,0.5,0.2,0.6,34.9,38.4
David Nwaba,HOU,46,0.2,4.8,0.82,0.2,0.1,0.2,50,50
John Konchar,MEM,72,0.2,4.8,0.33,0.1,0,0.1,20,25
Isaac Okoro,CLE,67,0.4,4.6,0.73,0.3,0.1,0.3,40.9,40.9
Trey Murphy III,NOP,62,0.2,4.5,0.14,0,0,0.2,7.7,7.7
Bruce Brown,BKN,72,0.4,4.4,1.19,0.4,0.1,0.3,50,52.5
Eric Paschall,UTA,58,0.2,4.4,1.08,0.2,0.1,0.2,55.6,55.6
Kelly Olynyk,DET,40,0.4,4.4,0.53,0.2,0.1,0.3,27.3,31.8
Damion Lee,GSW,63,0.3,4.4,0.4,0.1,0.1,0.3,23.5,23.5
Josh Green,DAL,67,0.2,4.4,0.5,0.1,0,0.1,30,35
Jonathan Kuminga,GSW,71,0.4,4.2,1.04,0.4,0.1,0.2,62.5,62.5
DeAndre' Bembry,BKN,48,0.2,4.2,0.36,0.1,0,0.2,18.2,18.2
Rodney McGruder,DET,51,0.2,4.2,0.36,0.1,0,0.2,18.2,18.2
Cameron Johnson,PHX,66,0.4,4.1,0.72,0.3,0.1,0.3,27.8,27.8
Draymond Green,GSW,46,0.4,3.9,0.47,0.2,0,0.1,33.3,33.3
Nikola Jokic,DEN,74,0.9,3.8,1.04,1,0.3,0.4,73.3,83.3
Pat Connaughton,MIL,65,0.3,3.8,0.76,0.2,0.1,0.3,41.2,47.1
Justin Holiday,IND,49,0.4,3.6,0.9,0.3,0.1,0.3,40,56.7
